YearStart,LocationDesc,Question,Rate,LocationID
2015,Alabama,Chronic liver disease,16.7,1
2013,North Carolina,Chronic liver disease,,37
2017,Alabama,Chronic liver disease,12.7,1
2015,Kansas,Chronic liver disease,12.3,20
2010,Massachusetts,Chronic liver disease,11.2,25
2018,Arkansas,Chronic liver disease,8.8,5
2018,Minnesota,Chronic liver disease,12.2,27
2020,Indiana,Chronic liver disease,11.8,18
2011,Colorado,Chronic liver disease,,8
2011,Nebraska,Chronic liver disease,,31
2016,Kentucky,Chronic liver disease,7.9,21
2020,Illinois,Chronic liver disease,11.4,17
2013,Michigan,Chronic liver disease,10.0,26
2015,New York,Chronic liver disease,9.6,36
2020,Iowa,Chronic liver disease,,19
2015,Hawaii,Chronic liver disease,5.4,15
2018,Iowa,Chronic liver disease,5.7,19
2013,Connecticut,Chronic liver disease,7.7,9
2020,Michigan,Chronic liver disease,12.2,26
2015,New Hampshire,Chronic liver disease,,33
2012,Delaware,Chronic liver disease,8.0,10
2015,Michigan,Chronic liver disease,7.6,26
2020,Minnesota,Chronic liver disease,11.5,27
2014,Florida,Chronic liver disease,5.3,12
2011,Oregon,Chronic liver disease,9.6,41
2011,California,Chronic liver disease,10.4,6
2011,Louisiana,Chronic liver disease,5.1,22
2010,Maryland,Chronic liver disease,6.9,24
2011,Oregon,Chronic liver disease,12.2,41
2013,Idaho,Chronic liver disease,16.3,16
2016,Alabama,Chronic liver disease,,1
2015,Oklahoma,Chronic liver disease,17.5,40
2017,Kentucky,Chronic liver disease,8.2,21
2015,New Mexico,Chronic liver disease,,35
2012,Ohio,Chronic liver disease,6.7,39
2010,Oregon,Chronic liver disease,49.7,41
2019,Maryland,Chronic liver disease,,24
2017,Delaware,Chronic liver disease,,10
2011,Alabama,Chronic liver disease,,1
2011,Maine,Chronic liver disease,8.9,23
2020,Colorado,Chronic liver disease,31.5,8
2012,Montana,Chronic liver disease,62.2,30
2012,Delaware,Chronic liver disease,,10
2013,Maine,Chronic liver disease,,23
2014,North Carolina,Chronic liver disease,,37
2012,Massachusetts,Chronic liver disease,5.1,25
2017,Connecticut,Chronic liver disease,,9
2020,Iowa,Chronic liver disease,7.4,19
2012,Oregon,Chronic liver disease,8.4,41
2018,New Hampshire,Chronic liver disease,,33
2016,Ohio,Chronic liver disease,7.7,39
2011,Missouri,Chronic liver disease,,29
2010,Mississippi,Chronic liver disease,,28
2019,North Carolina,Chronic liver disease,9.2,37
2018,Delaware,Chronic liver disease,8.4,10
2012,Montana,Chronic liver disease,16.1,30
2014,Michigan,Chronic liver disease,7.0,26
2013,Georgia,Chronic liver disease,,13
2011,Kentucky,Chronic liver disease,,21
2019,Kentucky,Chronic liver disease,10.7,21
2020,Alaska,Chronic liver disease,74.0,2
2020,North Dakota,Chronic liver disease,,38
2013,California,Chronic liver disease,11.8,6
2010,Idaho,Chronic liver disease,7.5,16
2019,Idaho,Chronic liver disease,,16
2014,Maryland,Chronic liver disease,4.7,24
2010,North Dakota,Chronic liver disease,,38
2015,Alabama,Chronic liver disease,,1
2017,Hawaii,Chronic liver disease,4.7,15
2017,Massachusetts,Chronic liver disease,9.9,25
2012,North Dakota,Chronic liver disease,12.4,38
2015,North Dakota,Chronic liver disease,,38
2014,California,Chronic liver disease,7.9,6
2017,Illinois,Chronic liver disease,9.3,17
2015,Alaska,Chronic liver disease,39.3,2
2018,Arkansas,Chronic liver disease,13.9,5
2014,Missouri,Chronic liver disease,8.8,29
2012,Mississippi,Chronic liver disease,6.3,28
2015,North Dakota,Chronic liver disease,9.2,38
2013,New Jersey,Chronic liver disease,10.2,34
2013,Colorado,Chronic liver disease,12.6,8
2014,Arizona,Chronic liver disease,11.1,4
2011,Massachusetts,Chronic liver disease,7.7,25
2013,Louisiana,Chronic liver disease,10.3,22
2019,Indiana,Chronic liver disease,8.8,18
2018,Alabama,Chronic liver disease,14.7,1
2017,Massachusetts,Chronic liver disease,4.4,25
2013,Indiana,Chronic liver disease,13.7,18
2018,Indiana,Chronic liver disease,12.5,18
2011,North Dakota,Chronic liver disease,8.5,38
2013,Maine,Chronic liver disease,12.6,23
2010,California,Chronic liver disease,11.3,6
2019,Mississippi,Chronic liver disease,17.5,28
2018,Oregon,Chronic liver disease,14.0,41
2016,Nebraska,Chronic liver disease,,31
2016,Alaska,Chronic liver disease,,2
2011,New Hampshire,Chronic liver disease,,33
2013,Mississippi,Chronic liver disease,10.2,28
2013,Nebraska,Chronic liver disease,,31
2012,Hawaii,Chronic liver disease,12.5,15
2016,District of Columbia,Chronic liver disease,,11
2019,Florida,Chronic liver disease,14.7,12
2020,California,Chronic liver disease,4.5,6
2015,Maryland,Chronic liver disease,,24
2017,Idaho,Chronic liver disease,13.5,16
2014,Massachusetts,Chronic liver disease,,25
2016,Colorado,Chronic liver disease,26.0,8
2012,Illinois,Chronic liver disease,,17
2020,Alabama,Chronic liver disease,20.4,1
2013,Oregon,Chronic liver disease,,41
2018,New Mexico,Chronic liver disease,33.1,35
2010,Nevada,Chronic liver disease,7.0,32
2019,Ohio,Chronic liver disease,,39
2010,Maine,Chronic liver disease,,23
2019,Maine,Chronic liver disease,,23
2014,Oklahoma,Chronic liver disease,,40
2015,Massachusetts,Chronic liver disease,8.2,25
2018,Connecticut,Chronic liver disease,7.6,9
2020,Oklahoma,Chronic liver disease,,40
2010,New Jersey,Chronic liver disease,8.5,34
2018,Georgia,Chronic liver disease,6.8,13
2013,Kentucky,Chronic liver disease,,21
2011,Alabama,Chronic liver disease,10.8,1
2015,Oklahoma,Chronic liver disease,32.2,40
2013,Kansas,Chronic liver disease,7.9,20
2017,Maine,Chronic liver disease,,23
2020,Idaho,Chronic liver disease,13.9,16
2019,Louisiana,Chronic liver disease,,22
2013,Minnesota,Chronic liver disease,11.6,27
2018,Idaho,Chronic liver disease,12.6,16
2019,Minnesota,Chronic liver disease,10.3,27
2019,Arizona,Chronic liver disease,14.5,4
2014,Idaho,Chronic liver disease,11.0,16
2020,Nevada,Chronic liver disease,5.5,32
2011,New Hampshire,Chronic liver disease,9.6,33
2013,Maryland,Chronic liver disease,6.1,24
2011,New Mexico,Chronic liver disease,,35
2011,Arkansas,Chronic liver disease,10.0,5
2019,District of Columbia,Chronic liver disease,,11
2019,Florida,Chronic liver disease,14.6,12
2013,Nevada,Chronic liver disease,,32
2010,New Hampshire,Chronic liver disease,6.4,33
2017,Nevada,Chronic liver disease,16.7,32
2011,Idaho,Chronic liver disease,,16
2015,Missouri,Chronic liver disease,13.7,29
2013,Kentucky,Chronic liver disease,,21
2015,Arkansas,Chronic liver disease,13.4,5
2013,Florida,Chronic liver disease,7.4,12
2010,Florida,Chronic liver disease,,12
2019,Massachusetts,Chronic liver disease,9.4,25
2017,New Mexico,Chronic liver disease,20.6,35
2014,Illinois,Chronic liver disease,12.3,17
2017,Nevada,Chronic liver disease,,32
2011,Illinois,Chronic liver disease,8.2,17
2019,Kentucky,Chronic liver disease,14.3,21
2017,Georgia,Chronic liver disease,12.3,13
2017,Missouri,Chronic liver disease,9.3,29
2012,Minnesota,Chronic liver disease,,27
2014,North Dakota,Chronic liver disease,,38
2020,North Carolina,Chronic liver disease,16.9,37
2010,Hawaii,Chronic liver disease,4.0,15
2013,Mississippi,Chronic liver disease,5.3,28
2014,New Jersey,Chronic liver disease,7.9,34
2010,District of Columbia,Chronic liver disease,,11
2011,Maryland,Chronic liver disease,,24
2012,Ohio,Chronic liver disease,,39
2011,New Hampshire,Chronic liver disease,6.8,33
2019,New Jersey,Chronic liver disease,7.8,34
2014,Connecticut,Chronic liver disease,,9
2015,Nebraska,Chronic liver disease,,31
2020,Arkansas,Chronic liver disease,,5
2011,Alaska,Chronic liver disease,10.6,2
2016,Kansas,Chronic liver disease,,20
2014,New Hampshire,Chronic liver disease,5.3,33
2018,New York,Chronic liver disease,9.9,36
2016,Iowa,Chronic liver disease,9.4,19
2019,Nebraska,Chronic liver disease,11.3,31
2020,Hawaii,Chronic liver disease,,15
2011,Delaware,Chronic liver disease,13.4,10
2019,Connecticut,Chronic liver disease,8.9,9
2010,Maryland,Chronic liver disease,,24
2015,Alabama,Chronic liver disease,15.1,1
2016,North Dakota,Chronic liver disease,12.4,38
2020,New York,Chronic liver disease,3.4,36
2019,Delaware,Chronic liver disease,,10
2012,Colorado,Chronic liver disease,,8
2011,Missouri,Chronic liver disease,10.6,29
2015,Massachusetts,Chronic liver disease,,25
2016,Illinois,Chronic liver disease,3.7,17
2016,North Dakota,Chronic liver disease,,38
2010,Maryland,Chronic liver disease,7.0,24
2015,Minnesota,Chronic liver disease,,27
2014,District of Columbia,Chronic liver disease,,11
2018,Arizona,Chronic liver disease,11.0,4
2018,Kansas,Chronic liver disease,,20
2017,Minnesota,Chronic liver disease,47.3,27
2015,Arizona,Chronic liver disease,13.0,4
2017,Ohio,Chronic liver disease,,39
2011,Connecticut,Chronic liver disease,9.4,9
2019,Mississippi,Chronic liver disease,16.3,28
2010,North Carolina,Chronic liver disease,12.8,37
2012,Oregon,Chronic liver disease,,41
2016,Montana,Chronic liver disease,,30
2020,Kentucky,Chronic liver disease,18.1,21
2018,Ohio,Chronic liver disease,10.9,39
2017,Mississippi,Chronic liver disease,15.0,28
2013,Ohio,Chronic liver disease,,39
2015,Arizona,Chronic liver disease,76.4,4
2014,Colorado,Chronic liver disease,10.0,8
2010,Massachusetts,Chronic liver disease,4.6,25
2012,Iowa,Chronic liver disease,5.2,19
2020,Ohio,Chronic liver disease,,39
2015,New York,Chronic liver disease,,36
2020,North Dakota,Chronic liver disease,17.7,38
2014,Mississippi,Chronic liver disease,,28
2012,New Jersey,Chronic liver disease,6.5,34
2014,Oklahoma,Chronic liver disease,9.0,40
2019,California,Chronic liver disease,12.5,6
2015,Louisiana,Chronic liver disease,,22
2012,Maine,Chronic liver disease,,23
2020,New Hampshire,Chronic liver disease,,33
2012,Alaska,Chronic liver disease,,2
2010,Kansas,Chronic liver disease,11.4,20
2015,Arkansas,Chronic liver disease,,5
2011,Hawaii,Chronic liver disease,,15
2020,Montana,Chronic liver disease,125.3,30
2018,Kentucky,Chronic liver disease,,21
2010,Illinois,Chronic liver disease,10.9,17
2012,North Dakota,Chronic liver disease,,38
2020,New Jersey,Chronic liver disease,10.4,34
2020,Massachusetts,Chronic liver disease,11.2,25
2011,North Dakota,Chronic liver disease,6.8,38
2014,California,Chronic liver disease,3.3,6
2020,Minnesota,Chronic liver disease,13.7,27
2015,Arizona,Chronic liver disease,7.3,4
2011,Oregon,Chronic liver disease,54.9,41
2015,Hawaii,Chronic liver disease,,15
2012,Illinois,Chronic liver disease,11.1,17
2012,Alabama,Chronic liver disease,,1
2020,Ohio,Chronic liver disease,16.3,39
2015,Kentucky,Chronic liver disease,13.2,21
2018,Illinois,Chronic liver disease,12.9,17
2011,Delaware,Chronic liver disease,,10
2010,Iowa,Chronic liver disease,7.9,19
2010,Illinois,Chronic liver disease,6.6,17
2017,Maine,Chronic liver disease,13.6,23
2015,Colorado,Chronic liver disease,,8
2012,New Jersey,Chronic liver disease,7.8,34
2015,Kentucky,Chronic liver disease,7.2,21
2011,New Mexico,Chronic liver disease,14.6,35
2019,Kentucky,Chronic liver disease,8.5,21
2013,Nevada,Chronic liver disease,15.1,32
2019,Hawaii,Chronic liver disease,,15
2017,New Jersey,Chronic liver disease,10.1,34
2020,New Mexico,Chronic liver disease,123.0,35
2019,Arkansas,Chronic liver disease,16.6,5
2010,Alaska,Chronic liver disease,9.8,2
2020,Oregon,Chronic liver disease,11.9,41
2012,Maine,Chronic liver disease,8.2,23
2017,Iowa,Chronic liver disease,,19
2016,Oregon,Chronic liver disease,,41
2015,Idaho,Chronic liver disease,12.2,16
2012,North Carolina,Chronic liver disease,9.9,37
2010,Arkansas,Chronic liver disease,9.9,5
2020,Maine,Chronic liver disease,,23
2010,Michigan,Chronic liver disease,16.3,26
2018,Alaska,Chronic liver disease,12.4,2
2015,Nebraska,Chronic liver disease,7.8,31
2010,Louisiana,Chronic liver disease,,22
2010,New Jersey,Chronic liver disease,4.4,34
2017,Georgia,Chronic liver disease,7.4,13
2019,Georgia,Chronic liver disease,13.3,13
2017,Montana,Chronic liver disease,11.8,30
2016,Maryland,Chronic liver disease,,24
2017,Montana,Chronic liver disease,,30
2012,Arizona,Chronic liver disease,11.3,4
2015,Kansas,Chronic liver disease,17.1,20
2015,Florida,Chronic liver disease,14.7,12
2012,Kansas,Chronic liver disease,,20
2016,District of Columbia,Chronic liver disease,10.9,11
2018,Colorado,Chronic liver disease,13.5,8
2015,California,Chronic liver disease,11.3,6
2012,Montana,Chronic liver disease,,30
2017,Nebraska,Chronic liver disease,,31
2019,Alaska,Chronic liver disease,15.9,2
2012,Alaska,Chronic liver disease,32.6,2
2012,Minnesota,Chronic liver disease,8.0,27
2010,Nebraska,Chronic liver disease,,31
2011,Hawaii,Chronic liver disease,14.7,15
2019,Mississippi,Chronic liver disease,,28
2011,Florida,Chronic liver disease,,12
2012,Nevada,Chronic liver disease,,32
2018,Michigan,Chronic liver disease,8.4,26
2014,Nevada,Chronic liver disease,14.6,32
2010,New York,Chronic liver disease,6.6,36
2012,Mississippi,Chronic liver disease,9.2,28
2012,Oklahoma,Chronic liver disease,13.0,40
2018,Oregon,Chronic liver disease,,41
2020,Idaho,Chronic liver disease,15.5,16
2014,New Jersey,Chronic liver disease,8.3,34
2012,Nebraska,Chronic liver disease,7.6,31
2017,Oklahoma,Chronic liver disease,12.0,40
2018,Nevada,Chronic liver disease,13.9,32
2016,Hawaii,Chronic liver disease,4.7,15
2012,Massachusetts,Chronic liver disease,8.4,25
2010,New Mexico,Chronic liver disease,17.0,35
2015,Iowa,Chronic liver disease,,19
2016,North Carolina,Chronic liver disease,7.0,37
2013,New Mexico,Chronic liver disease,,35
2013,Delaware,Chronic liver disease,,10
2017,Indiana,Chronic liver disease,,18
2015,Florida,Chronic liver disease,6.0,12
2018,Kansas,Chronic liver disease,15.9,20
2013,Montana,Chronic liver disease,,30
2011,Louisiana,Chronic liver disease,,22
2017,Minnesota,Chronic liver disease,11.4,27
2010,Kansas,Chronic liver disease,,20
2016,Louisiana,Chronic liver disease,13.1,22
2019,Ohio,Chronic liver disease,14.6,39
2016,Delaware,Chronic liver disease,7.9,10
2013,Alaska,Chronic liver disease,,2
2013,Connecticut,Chronic liver disease,9.8,9
2017,North Carolina,Chronic liver disease,11.4,37
2019,Georgia,Chronic liver disease,12.5,13
2020,North Carolina,Chronic liver disease,9.3,37
2016,North Dakota,Chronic liver disease,,38
2014,Kansas,Chronic liver disease,,20
2016,Massachusetts,Chronic liver disease,9.3,25
2019,District of Columbia,Chronic liver disease,,11
2019,Massachusetts,Chronic liver disease,6.6,25
2014,California,Chronic liver disease,12.0,6
2011,New York,Chronic liver disease,9.6,36
2010,Idaho,Chronic liver disease,9.3,16
2015,Georgia,Chronic liver disease,9.0,13
2012,Maryland,Chronic liver disease,6.7,24
2016,Mississippi,Chronic liver disease,6.8,28
2010,New York,Chronic liver disease,2.5,36
2020,Arkansas,Chronic liver disease,18.8,5
2019,Colorado,Chronic liver disease,12.6,8
2013,New Hampshire,Chronic liver disease,8.7,33
2013,North Carolina,Chronic liver disease,11.5,37
2015,Georgia,Chronic liver disease,3.9,13
2012,Alabama,Chronic liver disease,,1
2016,Louisiana,Chronic liver disease,,22
2017,Iowa,Chronic liver disease,6.7,19
2012,New Hampshire,Chronic liver disease,,33
2015,District of Columbia,Chronic liver disease,10.7,11
2020,Illinois,Chronic liver disease,3.9,17
2010,Ohio,Chronic liver disease,10.0,39
2011,Arizona,Chronic liver disease,56.7,4
2018,Maryland,Chronic liver disease,4.9,24
2017,Nebraska,Chronic liver disease,,31
2020,Maryland,Chronic liver disease,8.0,24
2010,Oklahoma,Chronic liver disease,,40
2012,Nebraska,Chronic liver disease,,31
2020,New York,Chronic liver disease,11.4,36
2011,Arizona,Chronic liver disease,9.3,4
2020,Maryland,Chronic liver disease,7.4,24
2011,Arkansas,Chronic liver disease,,5
2012,Oklahoma,Chronic liver disease,17.1,40
2010,Louisiana,Chronic liver disease,,22
2013,New Mexico,Chronic liver disease,19.7,35
2011,Kansas,Chronic liver disease,8.4,20
2017,North Carolina,Chronic liver disease,5.2,37
2020,Georgia,Chronic liver disease,7.2,13
2015,Montana,Chronic liver disease,,30
2016,Georgia,Chronic liver disease,5.9,13
2016,Maine,Chronic liver disease,10.7,23
2017,Hawaii,Chronic liver disease,,15
2011,New York,Chronic liver disease,,36
2010,Hawaii,Chronic liver disease,11.8,15
2019,Connecticut,Chronic liver disease,11.2,9
2011,Maine,Chronic liver disease,6.7,23
2010,New Mexico,Chronic liver disease,,35
2014,Missouri,Chronic liver disease,,29
2010,New Hampshire,Chronic liver disease,3.9,33
2016,Minnesota,Chronic liver disease,7.9,27
2014,Delaware,Chronic liver disease,12.1,10
2018,District of Columbia,Chronic liver disease,6.6,11
2020,New Hampshire,Chronic liver disease,8.2,33
2016,Hawaii,Chronic liver disease,9.5,15
2020,Arizona,Chronic liver disease,13.0,4
2010,Nevada,Chronic liver disease,,32
2018,Maine,Chronic liver disease,,23
2018,Maryland,Chronic liver disease,5.3,24
2016,Arizona,Chronic liver disease,14.9,4
2013,Mississippi,Chronic liver disease,,28
2012,North Carolina,Chronic liver disease,,37
2013,Nevada,Chronic liver disease,10.6,32
2017,Oklahoma,Chronic liver disease,30.7,40
2015,New Jersey,Chronic liver disease,,34
2011,Delaware,Chronic liver disease,4.3,10
2010,Minnesota,Chronic liver disease,7.0,27
2012,Florida,Chronic liver disease,,12
2015,Louisiana,Chronic liver disease,,22
2010,Montana,Chronic liver disease,,30
2010,Georgia,Chronic liver disease,,13
2019,Oregon,Chronic liver disease,9.0,41
2015,Indiana,Chronic liver disease,,18
2019,New Mexico,Chronic liver disease,,35
2010,Alabama,Chronic liver disease,,1
2011,Oklahoma,Chronic liver disease,32.1,40
2020,Montana,Chronic liver disease,19.1,30
2019,California,Chronic liver disease,3.6,6
2020,Kansas,Chronic liver disease,8.5,20
2016,North Dakota,Chronic liver disease,14.9,38
2019,North Carolina,Chronic liver disease,7.9,37
2016,Maine,Chronic liver disease,,23
2016,Florida,Chronic liver disease,,12
2019,Alabama,Chronic liver disease,6.0,1
2020,Louisiana,Chronic liver disease,12.6,22
2010,New Jersey,Chronic liver disease,,34
2014,Alaska,Chronic liver disease,10.7,2
2015,Arizona,Chronic liver disease,11.2,4
2018,Maine,Chronic liver disease,14.9,23
2015,New York,Chronic liver disease,8.8,36
2016,Alabama,Chronic liver disease,,1
2016,Florida,Chronic liver disease,16.3,12
2016,Montana,Chronic liver disease,17.1,30
2018,Indiana,Chronic liver disease,,18
2016,Hawaii,Chronic liver disease,,15
2020,New Mexico,Chronic liver disease,33.6,35
2019,Hawaii,Chronic liver disease,12.7,15
2019,Ohio,Chronic liver disease,11.4,39
2014,Colorado,Chronic liver disease,12.7,8
2018,Minnesota,Chronic liver disease,61.0,27
2011,Alabama,Chronic liver disease,,1
2012,Alabama,Chronic liver disease,15.1,1
2014,Michigan,Chronic liver disease,13.4,26
2017,Florida,Chronic liver disease,7.3,12
2014,New Jersey,Chronic liver disease,,34
2019,Delaware,Chronic liver disease,,10
2010,Arkansas,Chronic liver disease,,5
2014,Oregon,Chronic liver disease,16.8,41
2014,Montana,Chronic liver disease,66.9,30
2015,District of Columbia,Chronic liver disease,,11
2012,Louisiana,Chronic liver disease,,22
2016,Alaska,Chronic liver disease,40.6,2
2019,Arkansas,Chronic liver disease,,5
2011,Georgia,Chronic liver disease,,13
2018,Louisiana,Chronic liver disease,10.3,22
2013,Nebraska,Chronic liver disease,,31
2017,Nevada,Chronic liver disease,10.0,32
2010,Iowa,Chronic liver disease,,19
2012,New York,Chronic liver disease,9.2,36
2012,Ohio,Chronic liver disease,9.6,39
2019,Montana,Chronic liver disease,15.0,30
2014,Oregon,Chronic liver disease,48.3,41
2020,Maine,Chronic liver disease,,23
2014,North Carolina,Chronic liver disease,13.9,37
2012,Kansas,Chronic liver disease,5.0,20
2014,Minnesota,Chronic liver disease,7.5,27
2010,Nevada,Chronic liver disease,13.8,32
2011,Louisiana,Chronic liver disease,7.8,22
2018,North Carolina,Chronic liver disease,,37
2020,Mississippi,Chronic liver disease,,28
2010,Colorado,Chronic liver disease,11.2,8
2011,New Jersey,Chronic liver disease,7.9,34
2016,Massachusetts,Chronic liver disease,6.3,25
2012,North Dakota,Chronic liver disease,7.8,38
2015,Arkansas,Chronic liver disease,8.5,5
2012,Arkansas,Chronic liver disease,,5
2013,New York,Chronic liver disease,2.5,36
2020,Kansas,Chronic liver disease,,20
2010,California,Chronic liver disease,3.5,6
2011,Colorado,Chronic liver disease,8.8,8
2020,Kentucky,Chronic liver disease,10.3,21
2017,Missouri,Chronic liver disease,,29
2014,Illinois,Chronic liver disease,12.5,17
2010,Nebraska,Chronic liver disease,10.6,31
2015,Alaska,Chronic liver disease,15.4,2
2011,Idaho,Chronic liver disease,9.7,16
2019,Alaska,Chronic liver disease,10.5,2
2011,Alaska,Chronic liver disease,25.8,2
2012,Hawaii,Chronic liver disease,,15
2014,Nebraska,Chronic liver disease,11.5,31
2011,Minnesota,Chronic liver disease,5.5,27
2013,Louisiana,Chronic liver disease,5.9,22
2010,Hawaii,Chronic liver disease,,15
2010,North Dakota,Chronic liver disease,7.7,38
2011,Kansas,Chronic liver disease,,20
2015,North Carolina,Chronic liver disease,10.7,37
2014,Louisiana,Chronic liver disease,,22
2018,Massachusetts,Chronic liver disease,12.3,25
2010,New Jersey,Chronic liver disease,8.1,34
2017,Kansas,Chronic liver disease,,20
2015,Colorado,Chronic liver disease,10.5,8
2017,Michigan,Chronic liver disease,10.9,26
2012,District of Columbia,Chronic liver disease,11.6,11
2011,Alabama,Chronic liver disease,13.5,1
2014,Ohio,Chronic liver disease,14.6,39
2019,Arizona,Chronic liver disease,7.2,4
2016,Minnesota,Chronic liver disease,8.7,27
2019,North Dakota,Chronic liver disease,15.2,38
2015,Maine,Chronic liver disease,11.1,23
2012,Florida,Chronic liver disease,14.5,12
2012,Illinois,Chronic liver disease,5.9,17
2015,Arkansas,Chronic liver disease,,5
2010,Connecticut,Chronic liver disease,,9
2018,Mississippi,Chronic liver disease,,28
2011,Indiana,Chronic liver disease,11.5,18
2010,District of Columbia,Chronic liver disease,8.9,11
2016,Illinois,Chronic liver disease,9.4,17
2014,Arkansas,Chronic liver disease,10.4,5
2018,Michigan,Chronic liver disease,10.7,26
2016,New Hampshire,Chronic liver disease,,33
2010,Michigan,Chronic liver disease,,26
2014,Nebraska,Chronic liver disease,,31
2018,Florida,Chronic liver disease,3.4,12
2019,Colorado,Chronic liver disease,19.7,8
2014,Kentucky,Chronic liver disease,,21
2019,Illinois,Chronic liver disease,9.7,17
2011,Louisiana,Chronic liver disease,8.4,22
2010,Arkansas,Chronic liver disease,6.7,5
2015,New Hampshire,Chronic liver disease,6.9,33
2014,Nevada,Chronic liver disease,,32
2016,Idaho,Chronic liver disease,,16
2011,Minnesota,Chronic liver disease,,27
2016,Idaho,Chronic liver disease,,16
2012,Maine,Chronic liver disease,,23
2012,Iowa,Chronic liver disease,8.1,19
2017,Florida,Chronic liver disease,11.2,12
2013,North Dakota,Chronic liver disease,9.8,38
2020,Oklahoma,Chronic liver disease,16.3,40
2019,District of Columbia,Chronic liver disease,,11
2019,New Hampshire,Chronic liver disease,,33
2018,Iowa,Chronic liver disease,8.7,19
2014,Kentucky,Chronic liver disease,11.5,21
2019,District of Columbia,Chronic liver disease,11.7,11
2015,Idaho,Chronic liver disease,9.9,16
2011,North Dakota,Chronic liver disease,68.8,38
2017,Connecticut,Chronic liver disease,9.1,9
2014,Colorado,Chronic liver disease,,8
2015,Montana,Chronic liver disease,100.3,30
2018,Delaware,Chronic liver disease,,10
2017,New York,Chronic liver disease,9.6,36
2019,Missouri,Chronic liver disease,13.7,29
2015,Michigan,Chronic liver disease,8.8,26
2012,Delaware,Chronic liver disease,,10
2012,Oklahoma,Chronic liver disease,33.2,40
2014,Illinois,Chronic liver disease,8.4,17
2013,New Jersey,Chronic liver disease,5.1,34
2013,Maine,Chronic liver disease,,23
2020,District of Columbia,Chronic liver disease,,11
2020,New York,Chronic liver disease,8.0,36
2013,Illinois,Chronic liver disease,,17
2014,New York,Chronic liver disease,6.7,36
2016,Arizona,Chronic liver disease,17.1,4
2016,New Jersey,Chronic liver disease,7.6,34
2014,Connecticut,Chronic liver disease,8.8,9
2020,Missouri,Chronic liver disease,16.0,29
2020,Connecticut,Chronic liver disease,,9
2014,Louisiana,Chronic liver disease,10.7,22
2012,Georgia,Chronic liver disease,5.8,13
2018,Iowa,Chronic liver disease,,19
2016,Indiana,Chronic liver disease,11.0,18
2011,Maine,Chronic liver disease,,23
